airtable_id,type,timestamp,operator,station,fields_json,lots
recfkQR4rIadWNhbU,PlatesPoured,2026-03-27T20:47:54.814Z,,Pour Plates,"{""plate_group_id"":""PLATEGRP-1774644474103"",""plate_count"":15,""recipe_id"":""REC-AGAR-STD"",""created_plate_ids"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]}",
recfwnzmFeeWL0k8v,FullyColonized,2026-04-12T11:15:49.175Z,,Dark Room,{},
recfyBmELLzk2lN7P,FullyColonized,2026-04-17T20:38:32.209Z,,Dark Room,{},
recgMMRJbfL3r0Szo,FullyColonized,2026-04-15T20:38:14.770Z,,Dark Room,{},
recgW3OkvQuyKY4k3,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recHG6uHBrKFIouMH"",""reccqbKCHQk5B18Vz""]}",
recgnl0yqjsELrbuW,FullyColonized,2026-03-27T20:20:26.689Z,,Dark Room,{},
rechEx8WDLeUGrBJ0,Pasteurized,2026-03-10T18:23:50.693Z,Robert,Sterilizer OUT,"{""run_id"":""recBjYHAjvHFNP65d"",""run_no"":""RUN-260310-P65d"",""process_type"":""pasteurize"",""unit_size"":5}",
rechFSvHtiZiDJdp1,FruitingStart,2026-04-15T23:09:23.527Z,,Fruiting,,
rechzARsQCmUjcK24,Sterilized,2026-03-30T17:39:50.874Z,system,Sterilizer OUT,"{""run_id"":""rect5WtJiGG4WFH27"",""run_no"":""RUN-260327-FH27"",""process_type"":""sterilize"",""unit_size"":500}",
reciCML5KzA9nbIDh,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
reciYZYWARc23HGdd,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""rec7e4hlqnmOcy303""],""substrate_input_ids"":[""recy8SzUO4C3HFbVv"",""recHoe3zDVz0tAujd"",""recyrJIedCf6gQ5Re"",""recg03wqUVkkJVJ42"",""recrYd5SYKVcBbt5o"",""rec6YWY70rN1F2VDs""],""per_output_unit_size_lb"":2.8333333333333335,""output_item_code"":""FB-MM75-SM"",""output_index"":1,""output_count"":6}",
recimszKa6cxYzKg7,FullyColonized,2026-03-27T20:20:15.273Z,,Dark Room,{},
recjKmtJPiIq8FB2z,FruitingStart,2026-04-17T20:39:26.962Z,,Fruiting,,
recjO5Xdl65kSutlU,Inoculated,2026-03-30T16:18:00.033Z,,Inoculation,"{""source_lot_id"":""recefSoDg8E4ZrRKW"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260327-OMAG""}",
reckKypRNOyWmddl0,FruitingStart,2026-04-15T23:11:19.928Z,,Fruiting,,
reckTCsgU2RdHfNlv,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recdu4OLgQ0ctjo3z"",""recJ8okW8w0t2Tr9E"",""recVzONW8LHXq4NAb""]}",
recl99pvmJ7kMMB4B,Inoculated,2026-04-12T20:56:43.121Z,,Inoculation,"{""source_lot_id"":""rec1XaQp76729Trni"",""source_category"":""lc_flask"",""volume_ml"":0.25,""operator"":"""",""target_lot_id"":""LOT-260327-e3wt""}",
reclFbZ9QMbusJftq,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recRCUQLNBW8lhUEz"",""recTgfeVSu1FnSAuA""]}",
reclKD09IM6rQKjXX,Inoculated,2026-04-12T20:54:02.022Z,,Inoculation,"{""source_lot_id"":""recD3JJzM2GofILyI"",""source_category"":""lc_flask"",""volume_ml"":3,""operator"":"""",""target_lot_id"":""LOT-260324-3Gts""}",
reclPIaqZZdSisOw9,PlatesPoured,2026-03-27T20:47:29.262Z,,Pour Plates,"{""plate_group_id"":""PLATEGRP-1774644448064"",""plate_count"":15,""recipe_id"":""REC-AGAR-STD"",""created_plate_ids"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]}",
reclQzjjwRzneThLZ,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
reclVmxnd9kuk3deM,FullyColonized,2026-04-12T11:15:20.119Z,,Dark Room,{},
reclddcSR6fk361Y4,FruitingStart,2026-03-09T21:49:31.373Z,,Fruiting,,
reclewi7uGYNrZnOB,FullyColonized,2026-04-15T23:11:25.840Z,,Dark Room,{},
reclhbn4JVmXk4JuG,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recD2cmwtN62S55iq""],""substrate_input_ids"":[""recSiAPSUCQyMrdRd"",""rec9GzYrjM9TscbjB""],""per_output_unit_size_lb"":8.75,""output_item_code"":""FB-MM75-LG"",""output_index"":1,""output_count"":2}",
reclmifeXhBSotSlI,Pasteurized,2026-03-10T18:23:35.316Z,Robert,Sterilizer OUT,"{""run_id"":""rec8cgEbS5fANlmZu"",""run_no"":""RUN-260310-lmZu"",""process_type"":""pasteurize"",""unit_size"":2.5}",
reclvTwWSpyuwyVWb,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recKVMbmztkzRPrpF"",""recPpnmWuolvnLfM3"",""recQKYJa5QWHNNOdR""]}",
recm0XvhDiRlQCW0e,Inoculated,2026-03-30T18:59:41.129Z,,Inoculation,"{""source_lot_id"":""rectvibIMlYW8HCG1"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260324-Yrz8""}",
recmVl58HX4vTrRUk,FullyColonized,2026-03-09T21:48:24.713Z,,Dark Room,{},
recmuDgJMNl7Hzfkb,Inviable,2026-03-28T00:00:19.508Z,,Dark Room,{},
recn44FTUjKHiGX63,Received,2026-03-27T20:18:07.286Z,,Receiving,"{""vendor_name"":""Fungaia"",""vendor_batch"":null,""source_type"":""Purchased"",""total_volume_ml"":10}",
recnSFAD1SV4nALoM,Sterilized,2026-04-09T20:38:59.422Z,system,Sterilizer OUT,"{""run_id"":""recppjKznbkp9cKxo"",""run_no"":""RUN-260409-cKxo"",""process_type"":""sterilize"",""unit_size"":3}",
recnXv76XZZzWhTvM,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
recnYXhtl0rufdfEi,Sterilized,2026-03-05T17:21:04.594Z,Robert,Sterilizer OUT,"{""run_id"":""recrCRbHVGXTgst5W"",""run_no"":""RUN-260305-st5W"",""process_type"":""sterilize"",""unit_size"":7.5}",
recndi1fnIadDQpFi,Sterilized,2026-04-09T20:38:59.422Z,system,Sterilizer OUT,"{""run_id"":""recppjKznbkp9cKxo"",""run_no"":""RUN-260409-cKxo"",""process_type"":""sterilize"",""unit_size"":3}",
recnnlR72jU1ogWQU,Pasteurized,2026-03-10T18:23:50.693Z,Robert,Sterilizer OUT,"{""run_id"":""recBjYHAjvHFNP65d"",""run_no"":""RUN-260310-P65d"",""process_type"":""pasteurize"",""unit_size"":5}",
recoCWvJrGjA3XBOc,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
recoubti7K2qUJkxp,Inoculated,2026-04-17T19:36:49.069Z,,Inoculation,"{""source_lot_id"":""recYmA0e8xl30gR2g"",""source_category"":""lc_flask"",""volume_ml"":0.1,""operator"":"""",""target_lot_id"":""LOT-260327-Ql9A""}",
recpWb8jPPrsD97Wj,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recHG6uHBrKFIouMH"",""reccqbKCHQk5B18Vz""]}",
recpic6oNAIdqbibp,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
recpqf0yDIeEcbFQG,FullyColonized,2026-04-15T23:10:19.902Z,,Dark Room,{},
recqFHldRXIjjAx7Y,PlatesPoured,2026-03-27T20:47:17.041Z,,Pour Plates,"{""plate_group_id"":""PLATEGRP-1774644436147"",""plate_count"":18,""recipe_id"":""REC-AGAR-STD"",""created_plate_ids"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]}",
recqhurELGZMzPJrn,FullyColonized,2026-04-10T19:35:09.146Z,,Dark Room,{},
recqyeEYpKp6jUNMA,Inoculated,2026-03-30T16:18:00.033Z,,Inoculation,"{""source_lot_id"":""recefSoDg8E4ZrRKW"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260330-8cKF""}",
recr7sUvi775U8AUZ,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
recrE3hsHYn9Ay720,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
recredRDi367mlBuz,Inoculated,2026-03-30T18:59:41.129Z,,Inoculation,"{""source_lot_id"":""rectvibIMlYW8HCG1"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260327-3xXD""}",
recrhsgsGCfXwJVsk,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
